id,genre
1000453,Action
1000453,Comedy
1000454,Mystery
1000454,Drama
1000454,Horror
1000455,Drama
1000455,Mystery
1000457,History
1000457,Drama
1000460,Drama
1000461,Thriller
1000461,Science Fiction
1000461,Action
1000461,Drama
1000464,Action
1000464,Comedy
1000466,Horror
1000466,Comedy
1000467,Mystery
1000467,Thriller
1000467,Horror
1000469,Comedy
1000469,Romance
1000471,Comedy
1000471,Family
1000471,Romance
1000472,Action
1000472,Adventure
1000472,Fantasy
1000473,Drama
1000473,Crime
1000473,Thriller
1000474,Comedy
1000475,Drama
1000476,Horror
1000476,Thriller
1000477,Drama
1000477,Adventure
1000479,Adventure
1000479,Comedy
1000479,Animation
1000479,Family
1000480,Science Fiction
1000480,Adventure
1000480,Action
1000481,Thriller
1000481,Crime
1000482,Family
1000482,Fantasy
1000482,Adventure
1000483,Drama
1000483,Music
1000484,Family
1000484,Fantasy
1000484,Comedy
1000485,Drama
1000486,Science Fiction
1000486,Horror
1000486,Thriller
1000488,War
1000488,Drama
1000488,History
1000489,Mystery
1000489,Horror
1000490,Thriller
1000490,Action
1000490,Adventure
1000493,Thriller
1000493,Action
1000499,Fantasy
1000499,Action
1000499,Adventure
1000500,Thriller
1000500,Drama
1000500,Action
1000500,Comedy
1000501,Animation
1000501,Family
1000502,Crime
1000502,Comedy
1000502,Thriller
1000503,Science Fiction
1000503,Action
1000503,Mystery
1000503,Thriller
1000504,Romance
1000504,Comedy
1000505,Adventure
1000505,Action
1000505,Science Fiction
1000506,Science Fiction
1000506,Action
1000506,Family
1000506,Animation
1000506,Comedy
1000507,Fantasy
1000507,Science Fiction
1000507,Comedy
1000508,Action
1000508,Fantasy
1000508,Adventure
1000509,Drama
1000510,Science Fiction
1000510,Adventure
1000510,Action
1000511,Drama
1000511,Romance
1000511,Comedy
1000512,Drama
1000513,Action
1000513,Science Fiction
1000513,Thriller
1000513,Drama
1000514,Drama
1000514,History
1000515,Mystery
1000515,Drama
1000516,History
1000516,War
1000516,Romance
1000517,Comedy
1000517,Animation
1000517,Family
1000519,Comedy
1000519,Action
1000519,Science Fiction
1000519,Adventure
1000520,Crime
1000520,Drama
1000520,History
1000522,Comedy
1000522,Animation
1000522,Adventure
1000522,Family
